Date,Open,High,Low,Close,Adj Close,Volume
2022-02-07,59.080002,59.630001,58.840000,58.959999,57.080563,2132500
2022-02-08,59.110001,60.029999,58.619999,59.950001,58.039001,2933500
2022-02-09,60.290001,61.000000,60.060001,60.770000,58.832863,3346900
2022-02-10,60.439999,61.540001,60.139999,60.720001,58.784458,3676800
2022-02-11,60.750000,61.299999,59.349998,59.509998,57.613026,2449800
2022-02-14,59.200001,59.650002,58.230000,58.599998,56.732033,2902500
2022-02-15,58.900002,60.430000,58.860001,59.820000,57.913147,3400900
2022-02-16,59.360001,60.540001,59.330002,60.290001,58.368164,3001700
2022-02-17,60.220001,60.369999,59.240002,59.259998,57.370998,2716100
2022-02-18,59.250000,59.910000,58.759998,58.900002,57.022472,3198000
2022-02-22,58.349998,59.029999,56.910000,57.130001,55.308895,3316400
2022-02-23,57.689999,58.380001,56.549999,56.779999,54.970051,3477400
2022-02-24,55.090000,55.959999,54.369999,55.840000,54.060017,6516000
2022-02-25,50.750000,53.049999,49.160000,51.459999,49.819633,14711100
2022-02-28,50.810001,52.009998,50.310001,50.959999,49.335571,6844300
2022-03-01,50.020000,50.540001,49.599998,49.880001,48.289997,5359800
2022-03-02,50.470001,53.849998,50.270000,53.599998,51.891415,6072200
2022-03-03,53.380001,53.950001,52.470001,52.590000,50.913612,4004200
2022-03-04,52.080002,52.490002,51.400002,51.959999,50.303692,2984600
2022-03-07,51.419998,51.740002,48.980000,49.330002,47.757530,4649800
2022-03-08,49.750000,51.520000,49.049999,50.240002,48.638527,5920600
2022-03-09,51.450001,52.560001,51.130001,51.980000,50.323059,4199800
2022-03-10,51.310001,52.200001,51.029999,51.970001,50.313377,3590400
2022-03-11,52.000000,52.730000,51.540001,52.009998,50.352100,2977400
2022-03-14,51.860001,52.560001,50.380001,50.740002,49.122585,3406400
2022-03-15,50.740002,52.200001,50.560001,52.080002,50.419868,2477400
2022-03-16,51.520000,52.430000,50.619999,51.970001,50.313377,5130700
2022-03-17,51.430000,51.459999,49.520000,50.509998,48.899914,5634300
2022-03-18,50.410000,51.889999,50.029999,51.830002,50.177841,4907200
2022-03-21,51.750000,52.970001,51.680000,52.320000,50.652222,3853500
2022-03-22,52.439999,53.330002,52.299999,52.990002,51.300865,2764900
2022-03-23,52.570000,53.389999,52.500000,52.599998,50.923290,2895900
2022-03-24,52.630001,53.849998,52.430000,53.509998,51.804287,2806000
2022-03-25,53.500000,54.880001,53.360001,54.790001,53.043488,3715400
2022-03-28,54.250000,54.580002,53.720001,54.299999,52.569107,2892100
2022-03-29,54.790001,55.299999,54.310001,55.029999,53.275829,3417800
2022-03-30,54.700001,55.250000,54.180000,54.320000,52.588463,2829000
2022-03-31,51.299999,51.669998,50.169998,50.189999,48.590115,6459300
2022-04-01,48.570000,49.000000,47.610001,48.799999,47.244423,8086300
2022-04-04,48.939999,49.840000,48.750000,49.380001,47.805939,3326400
2022-04-05,48.860001,49.590000,48.660000,48.660000,47.108891,3335000
2022-04-06,48.240002,48.439999,46.750000,47.119999,45.617977,6815300
2022-04-07,47.520000,48.709999,46.930000,47.689999,46.169807,6182900
2022-04-08,47.439999,48.099998,47.119999,47.389999,45.879372,3707700
2022-04-11,46.930000,48.029999,46.750000,46.950001,45.453400,3663000
2022-04-12,47.029999,47.779999,47.009998,47.099998,45.598618,3970200
2022-04-13,46.939999,47.720001,46.910000,47.310001,45.801918,3200100
2022-04-14,47.160000,47.689999,46.889999,46.939999,45.443714,3678200
