Date,Open,High,Low,Close,Adj Close,Volume
2022-04-13,1135.000000,1143.099976,1123.000000,1125.099976,1073.764282,1971580
2022-04-18,1110.000000,1112.750000,1084.599976,1101.750000,1051.479614,4391701
2022-04-19,1115.900024,1115.949951,1058.750000,1070.250000,1021.416931,3422431
2022-04-20,1075.000000,1094.800049,1064.699951,1089.400024,1039.693115,2573318
2022-04-21,1095.000000,1105.050049,1081.099976,1099.199951,1049.045898,2547848
2022-04-22,1086.599976,1134.949951,1081.099976,1102.050049,1051.765991,9567571
2022-04-25,1096.900024,1098.000000,1077.300049,1089.849976,1040.122681,3565801
2022-04-26,1104.000000,1107.000000,1085.050049,1094.300049,1044.369751,3213714
2022-04-27,1087.000000,1099.900024,1074.599976,1095.599976,1045.610229,3288792
2022-04-28,1092.000000,1102.300049,1073.300049,1092.500000,1060.067993,5202061
2022-04-29,1094.000000,1100.500000,1074.349976,1079.250000,1047.211304,2988180
2022-05-02,1073.000000,1082.000000,1062.000000,1066.900024,1035.227905,2584604
2022-05-04,1075.900024,1076.000000,1035.800049,1044.949951,1013.929504,3385725
2022-05-05,1059.000000,1075.199951,1047.099976,1072.050049,1040.224976,2982126
2022-05-06,1049.900024,1056.650024,1028.949951,1050.199951,1019.023621,4075606
2022-05-09,1044.000000,1082.900024,1034.099976,1076.099976,1044.154785,4207192
2022-05-10,1073.000000,1085.000000,1066.599976,1072.550049,1040.710327,2473518
2022-05-11,1069.000000,1079.300049,1054.050049,1060.900024,1029.406006,2895668
2022-05-12,1050.099976,1070.949951,1043.750000,1059.400024,1027.950562,3195189
2022-05-13,1070.000000,1078.000000,1045.099976,1052.150024,1020.915833,2496626
2022-05-16,1054.000000,1066.949951,1040.199951,1044.550049,1013.541443,1415370
2022-05-17,1058.199951,1086.000000,1045.349976,1082.900024,1050.752930,2620776
2022-05-18,1083.550049,1097.349976,1070.800049,1073.699951,1041.825928,2865869
2022-05-19,1055.099976,1058.300049,1004.599976,1009.400024,979.434875,4729354
2022-05-20,1029.000000,1034.500000,1016.799988,1028.849976,998.307373,2005622
2022-05-23,1023.000000,1037.000000,1014.750000,1018.299988,988.070618,2285466
2022-05-24,1022.049988,1022.400024,987.000000,991.750000,962.308838,3418456
2022-05-25,992.000000,992.799988,963.000000,974.450012,945.522339,3904551
2022-05-26,977.000000,986.000000,969.049988,980.700012,951.586853,4278059
2022-05-27,989.000000,1010.450012,989.000000,1003.900024,974.098145,2795530
2022-05-30,1019.000000,1053.349976,1015.650024,1039.900024,1009.029480,3562969
2022-05-31,1045.000000,1045.800049,1020.450012,1040.750000,1009.854126,5185485
2022-06-01,1040.750000,1045.449951,1011.549988,1017.900024,987.682495,2554081
2022-06-02,1011.400024,1048.900024,1007.299988,1039.699951,1008.835327,3560227
2022-06-03,1053.949951,1069.650024,1040.199951,1043.000000,1012.037476,3556955
2022-06-06,1038.000000,1047.349976,1021.150024,1037.300049,1006.506653,1997494
2022-06-07,1030.000000,1033.750000,1013.150024,1022.900024,992.534119,1839248
2022-06-08,1023.099976,1033.800049,1016.000000,1030.199951,999.617310,1665512
2022-06-09,1024.949951,1031.699951,1011.700012,1028.650024,998.113403,1654005
2022-06-10,1012.000000,1023.750000,1008.200012,1015.349976,985.208191,2260855
2022-06-13,996.000000,1002.000000,982.500000,991.799988,962.357300,1738804
2022-06-14,988.000000,1000.950012,978.150024,996.900024,967.305908,2461791
2022-06-15,989.000000,1007.000000,988.000000,989.900024,960.513733,2408630
2022-06-16,1007.000000,1007.000000,961.650024,964.950012,936.304382,3198618
2022-06-17,952.400024,963.150024,944.049988,958.750000,930.288391,4302066
2022-06-20,965.000000,966.000000,952.099976,960.049988,931.549805,1305407
2022-06-21,971.700012,999.900024,963.650024,986.599976,957.311646,2128325
2022-06-22,977.950012,979.000000,959.150024,961.299988,932.762756,2575065
2022-06-23,962.099976,977.500000,958.599976,971.250000,942.417358,2169033
2022-06-24,984.000000,984.549988,960.000000,966.700012,938.002441,1922313
2022-06-27,986.150024,1006.799988,984.200012,992.349976,962.890991,3626024
2022-06-28,989.900024,1007.000000,983.250000,1001.950012,972.206055,2702471
2022-06-29,985.099976,1000.250000,985.000000,987.549988,958.233459,3150015
2022-06-30,990.000000,996.549988,969.950012,973.250000,944.358032,3741119
2022-07-01,964.500000,981.450012,964.200012,975.349976,946.395569,2827579
2022-07-04,975.349976,989.500000,973.450012,984.599976,955.371033,2738846
2022-07-05,987.400024,1002.650024,978.450012,982.150024,952.993774,2476050
2022-07-06,982.000000,999.000000,980.049988,986.599976,957.311646,2998254
2022-07-07,997.000000,1000.900024,984.950012,989.849976,960.465210,2985141
2022-07-08,999.000000,999.000000,979.150024,983.549988,954.352173,3141642
2022-07-11,975.000000,979.150024,940.000000,943.549988,915.539734,5787815
2022-07-12,935.000000,948.549988,924.400024,927.799988,900.257263,5305354
2022-07-13,930.000000,936.000000,905.000000,917.750000,890.505615,12874342
2022-07-14,926.150024,927.549988,892.299988,903.000000,876.193420,4916497
2022-07-15,896.000000,905.000000,877.349976,883.150024,856.932739,5591590
2022-07-18,895.000000,907.500000,888.849976,900.299988,873.573547,5156225
2022-07-19,890.000000,897.500000,885.000000,889.700012,872.984863,4636293
2022-07-20,904.599976,918.799988,895.099976,917.400024,900.164490,4827089
2022-07-21,921.000000,926.950012,913.549988,924.450012,907.081970,3498709
2022-07-22,929.400024,931.900024,909.000000,920.250000,902.960876,3514659
2022-07-25,920.250000,932.000000,914.000000,930.650024,913.165527,2120224
2022-07-26,928.500000,929.650024,911.099976,913.500000,896.337708,2780103
2022-07-27,912.099976,929.349976,911.099976,928.450012,911.006836,1742497
2022-07-28,935.900024,949.000000,932.700012,946.099976,928.325195,2843497
2022-07-29,957.000000,965.700012,947.150024,948.400024,930.582031,3617725
2022-08-01,954.000000,956.500000,945.200012,952.150024,934.261597,2489519
2022-08-02,952.150024,953.849976,941.049988,951.049988,933.182251,2545241
2022-08-03,951.000000,961.799988,950.049988,957.200012,939.216675,4119614
2022-08-04,965.000000,969.950012,945.799988,958.099976,940.099731,3513266
2022-08-05,962.900024,964.950012,955.000000,957.750000,939.756409,2565683
2022-08-08,957.750000,968.000000,950.049988,966.049988,947.900391,1746911
2022-08-10,966.049988,967.000000,948.099976,952.049988,934.163452,3271939
2022-08-11,965.000000,968.500000,958.750000,962.349976,944.269958,3594584
2022-08-12,964.000000,964.000000,954.000000,956.400024,938.431763,3022304
2022-08-16,969.000000,969.000000,952.650024,958.200012,940.197876,2784861
2022-08-17,963.000000,982.900024,955.000000,980.599976,962.177002,4649125
2022-08-18,983.450012,983.450012,968.099976,973.500000,955.210510,2829269
2022-08-19,974.500000,987.049988,966.799988,970.049988,951.825256,2880969
2022-08-22,965.000000,970.000000,955.200012,959.450012,941.424438,3616799
2022-08-23,949.950012,951.000000,939.000000,946.900024,929.110229,3753715
2022-08-24,949.900024,953.799988,944.150024,949.150024,931.317932,1494361
2022-08-25,953.900024,953.900024,942.650024,943.799988,926.068420,3316314
2022-08-26,948.549988,956.000000,943.750000,945.650024,927.883728,2195046
2022-08-29,912.599976,922.000000,900.099976,917.500000,900.262573,4974880
2022-08-30,926.900024,945.250000,923.700012,938.950012,921.309631,2998417
2022-09-01,917.299988,931.000000,916.250000,926.049988,908.651917,2953921
2022-09-02,931.200012,937.000000,919.000000,924.450012,907.081970,1750283
2022-09-05,926.000000,942.299988,922.500000,936.000000,918.414978,2279812
2022-09-06,936.000000,942.900024,927.049988,937.799988,920.181213,2108615
2022-09-07,927.000000,932.549988,923.099976,931.700012,914.195801,2709547
2022-09-08,936.400024,940.900024,928.000000,931.049988,913.557983,3214686
2022-09-09,939.000000,953.000000,934.299988,948.500000,930.680176,2206526
2022-09-12,955.150024,963.500000,953.500000,955.549988,937.597717,2517615
2022-09-13,955.000000,959.799988,950.450012,955.400024,937.450562,2442828
2022-09-14,933.299988,938.450012,926.549988,932.000000,914.490173,6761712
2022-09-15,936.500000,936.700012,916.299988,919.900024,902.617493,2995215
2022-09-16,915.099976,918.000000,893.400024,896.900024,880.049622,5095937
2022-09-19,897.950012,907.150024,887.500000,897.799988,880.932678,2686561
2022-09-20,902.299988,920.849976,902.000000,914.000000,896.828308,1836721
2022-09-21,909.000000,913.750000,898.849976,900.950012,884.023499,1819649
2022-09-22,897.599976,904.900024,889.750000,897.650024,880.785522,2315711
2022-09-23,896.500000,912.599976,892.000000,895.849976,879.019287,2569608
2022-09-26,891.250000,917.400024,882.000000,906.700012,889.665466,4182702
2022-09-27,911.250000,921.450012,907.599976,918.750000,901.489136,3545337
2022-09-28,913.000000,926.950012,911.849976,920.799988,903.500549,4154139
2022-09-29,927.000000,931.000000,916.599976,923.049988,905.708313,2928360
2022-09-30,921.900024,935.549988,910.049988,932.349976,914.833496,3229901
