Date,Open,High,Low,Close,Adj Close,Volume
2022-02-08,3791.550049,3799.699951,3721.000000,3743.449951,3625.597656,2946443
2022-02-09,3750.000000,3777.949951,3746.100098,3760.550049,3642.159424,1638721
2022-02-10,3789.800049,3789.800049,3758.000000,3770.350098,3651.650879,2112459
2022-02-11,3752.500000,3752.500000,3690.000000,3694.949951,3578.624512,3851488
2022-02-14,3724.000000,3793.250000,3710.000000,3733.750000,3616.202881,5951745
2022-02-15,3786.000000,3835.000000,3748.000000,3817.800049,3697.606934,3931683
2022-02-16,3844.000000,3854.100098,3806.000000,3813.100098,3693.054688,3256906
2022-02-17,3825.000000,3835.000000,3779.000000,3784.199951,3665.064697,3134372
2022-02-18,3769.000000,3815.949951,3757.600098,3793.899902,3674.458984,3688883
2022-02-21,3810.000000,3827.800049,3705.550049,3719.399902,3602.304443,7465922
2022-02-22,3650.000000,3667.899902,3570.000000,3586.399902,3473.491699,5408531
2022-02-23,3611.000000,3622.899902,3555.649902,3563.800049,3451.603271,2426203
2022-02-24,3474.000000,3483.850098,3391.100098,3401.649902,3294.558105,5039136
2022-02-25,3468.000000,3530.000000,3462.000000,3520.750000,3409.908691,2549723
2022-02-28,3490.000000,3563.750000,3455.899902,3554.199951,3442.305420,3288942
2022-03-02,3552.500000,3571.949951,3506.000000,3546.149902,3434.508789,2761341
2022-03-03,3562.850098,3578.600098,3530.100098,3544.399902,3432.813965,1928039
2022-03-04,3501.500000,3561.199951,3487.050049,3524.350098,3413.395264,2370257
2022-03-07,3450.000000,3548.000000,3431.550049,3484.899902,3375.187256,3054130
2022-03-08,3460.000000,3609.000000,3460.000000,3599.949951,3486.614990,3300992
2022-03-09,3605.000000,3654.000000,3597.050049,3632.600098,3518.237549,2719654
2022-03-10,3684.000000,3684.000000,3615.000000,3620.949951,3506.954102,2005441
2022-03-11,3603.250000,3639.850098,3592.850098,3599.149902,3485.840332,1623423
2022-03-14,3580.000000,3648.350098,3580.000000,3643.000000,3528.310059,1765688
2022-03-15,3659.000000,3659.000000,3585.399902,3593.899902,3480.755615,3651133
2022-03-16,3640.500000,3668.000000,3616.250000,3655.899902,3540.803467,3090475
2022-03-17,3696.600098,3710.000000,3660.300049,3672.750000,3557.123291,3600452
2022-03-21,3696.000000,3713.949951,3615.000000,3626.699951,3512.522949,2413831
2022-03-22,3640.000000,3711.000000,3625.000000,3700.949951,3584.435303,2907611
2022-03-23,3708.000000,3729.800049,3690.000000,3712.399902,3595.524902,1596195
2022-03-24,3700.000000,3758.199951,3695.000000,3749.850098,3631.796143,1879046
2022-03-25,3759.899902,3779.500000,3672.000000,3707.449951,3590.730957,1690133
2022-03-28,3695.000000,3713.000000,3661.199951,3707.699951,3590.972900,1760990
2022-03-29,3694.750000,3722.000000,3691.000000,3705.350098,3588.697021,2689063
2022-03-30,3738.000000,3738.000000,3706.199951,3731.550049,3614.072266,1583455
2022-03-31,3740.000000,3754.649902,3720.199951,3739.949951,3622.207764,2168110
2022-04-01,3748.000000,3763.000000,3728.050049,3758.750000,3640.416016,1387014
2022-04-04,3762.000000,3780.000000,3737.100098,3770.350098,3651.650879,1472994
2022-04-05,3772.000000,3835.600098,3772.000000,3814.800049,3694.701172,2314947
